index,DiagonalNonZeros,AbsoluteTrace,OneNorm,Trace,Dimension,SymmeticInfinityNorm,DiagonalMean,solver,label,time
0,13601.3,53045.2,6.0,56371.2,20402.0,6.0,2.76302,75830645.0,0.0,0.00063491
1,13601.3,53045.2,6.0,56371.2,20402.0,6.0,2.76302,75830647.0,0.0,0.00059509
2,13601.3,53045.2,6.0,56369.3,20402.0,6.0,2.76293,75830647.0,0.0,0.00046682
3,13601.3,53045.2,6.0,56367.5,20402.0,6.0,2.76284,75830645.0,0.0,0.00056601
4,13601.3,53045.2,6.0,56367.5,20402.0,6.0,2.76284,75830647.0,0.0,0.00062203
5,13601.3,53045.2,6.0,56368.0,20402.0,6.0,2.76287,75830645.0,0.0,0.00056195
6,13601.3,53045.2,6.0,56368.0,20402.0,6.0,2.76287,75830647.0,0.0,0.0006268
7,13601.3,53045.2,6.0,56369.3,20402.0,6.0,2.76293,75830645.0,0.0,0.00057697
8,13601.3,53045.2,6.0,56369.3,20402.0,6.0,2.76293,75830647.0,0.0,0.00063896
9,18361.8,65286.4,6.0,70525.4,30603.0,6.0,2.30452,75830645.0,0.0,0.0013418
10,18361.8,65286.4,6.0,70525.4,30603.0,6.0,2.30452,75830647.0,0.0,0.0011611
11,18361.8,65286.4,6.0,70722.5,30603.0,6.0,2.3109599999999997,75830645.0,0.0,0.0013399
12,18361.8,65286.4,6.0,70722.5,30603.0,6.0,2.3109599999999997,75830647.0,0.0,0.001477
13,18361.8,66306.5,6.0,71982.7,30603.0,6.0,2.35215,75830645.0,0.0,0.0013360999999999998
14,18361.8,66306.5,6.0,71982.7,30603.0,6.0,2.35215,75830647.0,0.0,0.001559
15,18361.8,65286.4,6.0,70526.5,30603.0,6.0,2.30456,29030070.0,0.0,0.0013919
16,18361.8,65286.4,6.0,70526.5,30603.0,6.0,2.30456,75830645.0,0.0,0.0013509
17,18361.8,65286.4,6.0,70526.5,30603.0,6.0,2.30456,75830647.0,0.0,0.0013571
18,18361.8,65286.4,6.0,70714.2,30603.0,6.0,2.31069,75830645.0,0.0,0.0013449000000000002
19,18361.8,65286.4,6.0,70714.2,30603.0,6.0,2.31069,75830647.0,0.0,0.0014140999999999997
20,18361.8,65286.4,6.0,70667.1,30603.0,6.0,2.30916,75830645.0,0.0,0.0013470999999999997
21,18361.8,65286.4,6.0,70667.1,30603.0,6.0,2.30916,75830647.0,0.0,0.0013470999999999997
22,15641.5,64606.3,6.0,68110.8,20402.0,6.0,3.3384400000000003,75830645.0,0.0,0.00063801
