rank,speed_loss,rank_loss,label
0,-0.00036095999999999996,2384,0.0
1,-8.797999999999998e-05,2511,0.0
2,-2.4319999999999984e-05,5443,0.0
3,-8.512e-05,2335,0.0
4,-8.512e-05,2351,0.0
5,-8.416000000000001e-05,2963,0.0
6,-8.392e-05,2311,0.0
7,-2.5979999999999992e-05,23,0.0
8,-8.893e-05,3005,0.0
9,-8.702000000000002e-05,2370,0.0
10,-8.702000000000002e-05,31,0.0
11,-9.798999999999997e-05,2671,0.0
12,-8.297e-05,2387,0.0
13,-8.582999999999998e-05,3080,0.0
14,-8.797000000000001e-05,2686,0.0
15,-8.392e-05,2817,0.0
16,-8.702000000000002e-05,3075,0.0
17,-8.607000000000002e-05,2636,0.0
18,-8.487999999999999e-05,10,0.0
19,-8.607000000000002e-05,3125,0.0
20,-2.0269999999999994e-05,2781,0.0
21,-3.385999999999998e-05,2387,0.0
22,-2.9799999999999993e-05,2534,0.0
23,-2.2169999999999986e-05,5309,0.0
24,-7.723999999999999e-05,2414,0.0
25,-3.314e-05,2701,0.0
26,-3.600000000000001e-05,2613,0.0
27,-2.503999999999999e-05,2921,0.0
28,6.91e-06,2415,0.0
29,-8.083e-05,113,0.0
30,8.100000000000007e-06,2698,0.0
31,-7.772999999999998e-05,2219,0.0
32,-8.13e-05,5393,0.0
33,-8.320999999999998e-05,94,0.0
34,-7.701e-05,2971,0.0
35,-7.438e-05,2611,0.0
36,-8.011000000000002e-05,2600,0.0
37,-7.700999999999997e-05,2930,0.0
38,-7.725000000000003e-05,5435,0.0
39,-7.486e-05,2998,0.0
40,-7.391e-05,2995,0.0
41,1.0009999999999994e-05,2630,0.0
42,-8.297000000000003e-05,2482,0.0
43,-7.916e-05,2228,0.0
44,-7.391e-05,10,0.0
45,-9.107000000000001e-05,2668,0.0
46,-7.701000000000002e-05,2782,0.0
47,-7.390999999999998e-05,2283,0.0
48,-8.820000000000014e-06,66,0.0
49,-7.391000000000003e-05,2798,0.0
50,-7.986999999999998e-05,2784,0.0
51,-9.584e-05,2746,0.0
52,-7.296000000000003e-05,3067,0.0
53,-7.510000000000001e-05,3013,0.0
54,4.060000000000012e-06,108,0.0
55,-6.795e-05,3074,0.0
56,-6.199999999999988e-06,1349,0.0
57,-8.488000000000001e-05,2567,0.0
58,-8.797999999999998e-05,2649,0.0
59,-7.105000000000002e-05,23,0.0
60,-6.795e-05,1163,0.0
61,-7.081000000000001e-05,631,0.0
62,-6.699000000000001e-05,1845,0.0
63,-6.675e-05,3007,0.0
64,-6.698999999999998e-05,1610,0.0
65,-6.794999999999997e-05,121,0.0
66,-6.914000000000003e-05,42,0.0
67,-6.604000000000001e-05,1682,0.0
68,-0.00017785999999999998,5307,0.0
69,-6.986000000000001e-05,70,0.0
70,-6.485e-05,525,0.0
71,-7.009e-05,2735,0.0
72,-6.700000000000003e-05,2250,0.0
73,-6.700000000000003e-05,5297,0.0
74,-6.508999999999999e-05,426,0.0
75,-6.390000000000001e-05,2623,0.0
76,-6.795000000000003e-05,2238,0.0
77,-8.607e-05,710,0.0
78,-6.89e-05,5227,0.0
79,-6.293999999999999e-05,19,0.0
80,-6.579999999999997e-05,-32,0.0
81,-6.508999999999996e-05,2494,0.0
82,5.010000000000008e-06,1079,0.0
83,-6.389999999999998e-05,1639,0.0
84,-6.580000000000003e-05,2915,0.0
85,-6.485000000000003e-05,657,0.0
86,-6.293999999999999e-05,-66,0.0
87,-8.201999999999998e-05,1783,0.0
88,-6.294999999999999e-05,721,0.0
89,-6.222999999999998e-05,1397,0.0
90,-6.509000000000002e-05,1579,0.0
91,-6.414000000000002e-05,1367,0.0
92,-6.318999999999997e-05,682,0.0
93,-6.676000000000002e-05,1737,0.0
94,-6.509000000000002e-05,-38,0.0
95,-6.485000000000003e-05,-93,0.0
96,-6.199e-05,1090,0.0
97,-6.294999999999999e-05,2496,0.0
98,2.8599999999999828e-06,2314,0.0
99,-6.008000000000001e-05,2765,0.0
100,-6.294000000000002e-05,953,0.0
101,-6.1029999999999976e-05,2346,0.0
102,-6.198999999999997e-05,925,0.0
103,-6.078999999999999e-05,1432,0.0
104,-6.174999999999998e-05,1380,0.0
105,-6.007999999999998e-05,1296,0.0
106,-5.9839999999999996e-05,1689,0.0
107,-6.174999999999998e-05,2226,0.0
108,5.960000000000004e-06,5235,0.0
109,-6.199e-05,5252,0.0
110,0.0,2840,0.0
111,-6.294000000000002e-05,-1,0.0
112,-6.103999999999997e-05,811,0.0
113,-6.485e-05,2884,0.0
114,1.382e-05,3952,0.0
115,-5.7940000000000004e-05,340,0.0
116,-6.413999999999999e-05,-109,0.0
117,-6.295000000000001e-05,2224,0.0
118,-6.104000000000003e-05,1548,0.0
119,-5.9129999999999984e-05,1442,0.0
120,-5.889e-05,1315,0.0
121,-8.297e-05,1113,0.0
122,-6.104000000000003e-05,422,0.0
123,-6.199000000000002e-05,319,0.0
124,-6.318e-05,2241,0.0
125,-6.0089999999999975e-05,378,0.0
126,-6.580999999999997e-05,1115,0.0
127,1.8119999999999996e-05,2936,0.0
128,-5.9129999999999984e-05,4588,0.0
129,-5.6980000000000013e-05,771,0.0
130,-5.889e-05,2337,0.0
131,-6.103000000000003e-05,3366,0.0
132,-5.9129999999999984e-05,3775,0.0
133,-6.318e-05,5486,0.0
134,-6.127000000000001e-05,2143,0.0
135,-5.8169999999999994e-05,2773,0.0
136,-5.603000000000002e-05,1102,0.0
137,-6.103000000000003e-05,2199,0.0
138,-5.864999999999999e-05,2188,0.0
139,8.820000000000014e-06,2665,0.0
140,-5.4120000000000004e-05,485,0.0
141,-5.602999999999999e-05,3849,0.0
142,1.979e-05,4398,0.0
143,-6.008000000000001e-05,2831,0.0
144,-6.104e-05,5001,0.0
145,-6.771000000000001e-05,4603,0.0
146,-5.889000000000003e-05,2645,0.0
147,-5.5790000000000006e-05,335,0.0
148,-6.293999999999999e-05,3246,0.0
149,-5.889000000000003e-05,2191,0.0
150,-6.008000000000001e-05,4273,0.0
151,-5.984000000000002e-05,-128,0.0
152,-6.009e-05,2457,0.0
153,-6.127999999999998e-05,1921,0.0
154,-5.602999999999999e-05,1136,0.0
155,-5.913000000000001e-05,764,0.0
156,-5.698999999999998e-05,794,0.0
157,-5.793999999999998e-05,380,0.0
158,-6.104e-05,3559,0.0
159,-5.913000000000001e-05,433,0.0
160,-5.985000000000002e-05,1028,0.0
161,-5.794000000000003e-05,711,0.0
162,1.4059999999999984e-05,2021,0.0
163,-5.3890000000000014e-05,699,0.0
164,-5.698999999999998e-05,3835,0.0
165,-5.769999999999999e-05,3293,0.0
166,-6.294999999999999e-05,1265,0.0
167,-5.794000000000003e-05,435,0.0
168,-5.889000000000003e-05,3299,0.0
169,-5.6980000000000013e-05,1611,0.0
170,-5.602999999999996e-05,831,0.0
171,-5.793000000000001e-05,945,0.0
172,-5.6739999999999975e-05,266,0.0
173,-8.797000000000001e-05,1130,0.0
174,-8.392e-05,1162,0.0
175,-7.149999999999957e-06,1247,0.0
176,-8.297e-05,3799,0.0
177,-8.798000000000004e-05,2674,0.0
178,-9.060000000000025e-06,323,0.0
179,-8.416000000000001e-05,3968,0.0
180,-9.298000000000005e-05,541,0.0
181,-8.392000000000002e-05,671,0.0
182,-9.584000000000003e-05,1164,0.0
183,-8.607000000000002e-05,452,0.0
184,-8.511999999999997e-05,1124,0.0
185,-3.505000000000004e-05,593,0.0
186,1.4060000000000011e-05,2143,0.0
187,-9.607999999999999e-05,410,0.0
188,-7.915000000000003e-05,-166,0.0
189,-8.297e-05,-162,0.0
190,-7.915000000000003e-05,1447,0.0
191,-8.678e-05,902,0.0
192,-8.583000000000001e-05,676,0.0
193,-8.416000000000003e-05,403,0.0
194,-7.892000000000001e-05,1219,0.0
195,-7.987e-05,709,0.0
196,-8.082e-05,437,0.0
197,-7.915e-05,1270,0.0
198,-8.512e-05,2912,0.0
199,-8.297000000000003e-05,1049,0.0
200,-8.893000000000003e-05,982,0.0
201,-8.393000000000002e-05,96,0.0
202,-7.797000000000001e-05,1561,0.0
203,-5.010000000000008e-06,1073,0.0
204,-8.488000000000001e-05,888,0.0
