Average.clustering.coefficient,Diameter..longest.shortest.path.,Edges.in.largest.SCC,Edges.in.largest.WCC,Fraction.of.closed.triangles,Nodes.in.largest.SCC,Nodes.in.largest.WCC,Number.of.triangles,X90.percentile.effective.diameter,algorithm,classif,dataset,nedges,nthreads,nvertices,package,runtime
0.49700000000000005,11.0,0.9840000000000001,0.9840000000000001,0.03015,0.9179999999999999,0.9179999999999999,727044.0,4.8,0.0,bad,30.0,183831.0,2.0,36692.0,1.0,0.0141875
0.49700000000000005,11.0,0.9840000000000001,0.9840000000000001,0.03015,0.9179999999999999,0.9179999999999999,727044.0,4.8,0.0,bad,30.0,183831.0,2.0,36692.0,0.0,0.000619063
0.49700000000000005,11.0,0.9840000000000001,0.9840000000000001,0.03015,0.9179999999999999,0.9179999999999999,727044.0,4.8,0.0,bad,30.0,183831.0,2.0,36692.0,4.0,0.001913344
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,bad,31.0,88234.0,1.0,4039.0,1.0,0.007375
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,bad,31.0,88234.0,1.0,4039.0,0.0,0.00012906299999999998
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,bad,31.0,88234.0,1.0,4039.0,4.0,0.000424406
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,bad,33.0,88234.0,2.0,4039.0,3.0,0.004415665
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,bad,36.0,88234.0,4.0,4039.0,0.0,0.0002625
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,bad,36.0,88234.0,4.0,4039.0,3.0,0.004162144
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,bad,36.0,88234.0,4.0,4039.0,4.0,0.000424875
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,bad,40.0,88234.0,8.0,4039.0,0.0,0.000315625
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,bad,40.0,88234.0,8.0,4039.0,3.0,0.004405814
