Average.clustering.coefficient,Diameter..longest.shortest.path.,Edges.in.largest.SCC,Edges.in.largest.WCC,Fraction.of.closed.triangles,Nodes.in.largest.SCC,Nodes.in.largest.WCC,Number.of.triangles,X90.percentile.effective.diameter,algorithm,classif,dataset,nedges,nthreads,nvertices,package,runtime
0.49700000000000005,11.0,0.9840000000000001,0.9840000000000001,0.03015,0.9179999999999999,0.9179999999999999,727044.0,4.8,0.0,good,30.0,183831.0,2.0,36692.0,3.0,7.93e-06
0.6055,8.0,1.0,1.0,0.2647,1.0,1.0,1612010.0,4.7,0.0,good,31.0,88234.0,1.0,4039.0,3.0,4.69e-07
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,10.0,16518948.0,1.0,3774768.0,3.0,5.51e-07
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,12.0,16518948.0,2.0,3774768.0,3.0,1.62e-05
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,15.0,16518948.0,4.0,3774768.0,3.0,2.2899999999999998e-05
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,19.0,16518948.0,8.0,3774768.0,3.0,2.9299999999999997e-05
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,11.0,16518948.0,16.0,3774768.0,3.0,4.26e-05
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,13.0,16518948.0,24.0,3774768.0,3.0,5.11e-05
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,14.0,16518948.0,32.0,3774768.0,3.0,0.000241205
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,16.0,16518948.0,40.0,3774768.0,3.0,0.000344202
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,17.0,16518948.0,48.0,3774768.0,3.0,0.000387013
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,good,18.0,16518948.0,56.0,3774768.0,3.0,0.000420004
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,187.0,7600595.0,1.0,685230.0,3.0,1.06e-06
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,189.0,7600595.0,2.0,685230.0,3.0,1.4400000000000001e-05
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,192.0,7600595.0,4.0,685230.0,3.0,1.91e-05
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,196.0,7600595.0,8.0,685230.0,3.0,2.45e-05
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,188.0,7600595.0,16.0,685230.0,0.0,0.007366875
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,188.0,7600595.0,16.0,685230.0,3.0,3.5e-05
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,190.0,7600595.0,24.0,685230.0,3.0,4.6399999999999996e-05
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,191.0,7600595.0,32.0,685230.0,3.0,0.000250086
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,193.0,7600595.0,40.0,685230.0,3.0,0.000320405
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,194.0,7600595.0,48.0,685230.0,3.0,0.000375047
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,good,195.0,7600595.0,56.0,685230.0,3.0,0.000492901
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,0.0,15038083.0,1.0,382219.0,0.0,0.01459375
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,0.0,15038083.0,1.0,382219.0,3.0,4.77e-07
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,2.0,15038083.0,2.0,382219.0,0.0,0.00990875
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,2.0,15038083.0,2.0,382219.0,3.0,1.3699999999999998e-05
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,5.0,15038083.0,4.0,382219.0,0.0,0.0059625
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,5.0,15038083.0,4.0,382219.0,3.0,1.49e-05
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,9.0,15038083.0,8.0,382219.0,0.0,0.00398875
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,9.0,15038083.0,8.0,382219.0,3.0,2.37e-05
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,1.0,15038083.0,16.0,382219.0,0.0,0.003475
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,1.0,15038083.0,16.0,382219.0,3.0,3.9399999999999995e-05
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,3.0,15038083.0,24.0,382219.0,0.0,0.003495625
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,3.0,15038083.0,24.0,382219.0,3.0,5.41e-05
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,3.0,15038083.0,24.0,382219.0,4.0,0.013373063000000001
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,4.0,15038083.0,32.0,382219.0,0.0,0.0044475
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,4.0,15038083.0,32.0,382219.0,3.0,0.00024478200000000003
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,6.0,15038083.0,40.0,382219.0,0.0,0.004894375
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,6.0,15038083.0,40.0,382219.0,3.0,0.000298411
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,7.0,15038083.0,48.0,382219.0,0.0,0.00528375
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,7.0,15038083.0,48.0,382219.0,3.0,0.000354469
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,8.0,15038083.0,56.0,382219.0,0.0,0.00575375
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,8.0,15038083.0,56.0,382219.0,3.0,0.00043301300000000005
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,177.0,1921660.0,1.0,1379917.0,3.0,1.27e-06
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,179.0,1921660.0,2.0,1379917.0,3.0,1.15e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,182.0,1921660.0,4.0,1379917.0,3.0,1.9399999999999997e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,186.0,1921660.0,8.0,1379917.0,3.0,2.75e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,178.0,1921660.0,16.0,1379917.0,3.0,5.12e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,180.0,1921660.0,24.0,1379917.0,3.0,6.08e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,181.0,1921660.0,32.0,1379917.0,3.0,0.000439272
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,183.0,1921660.0,40.0,1379917.0,3.0,0.000569969
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,184.0,1921660.0,48.0,1379917.0,3.0,0.000718981
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,185.0,1921660.0,56.0,1379917.0,3.0,0.000845895
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,41.0,16777216.0,1.0,1048576.0,2.0,0.001001966
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,43.0,16777216.0,1.0,1048576.0,2.0,0.00099932
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,45.0,16777216.0,1.0,1048576.0,2.0,0.001000599
